Name,Aula,Capitulo,Created
Estruturas Atômicas e Ligações Químicas,Aula 2,Cap. 2,"May 10, 2021 2:25 PM"
Estruturas dos Sólidos Cristalinos,Aula 3,Cap. 3,"May 10, 2021 2:25 PM"
"Imperfeições em sólidos ",Aula 4,Cap. 4,"May 10, 2021 2:25 PM"
Difusão,Aula 5,Cap. 5,"May 11, 2021 5:55 PM"
Diagramas de Fase,"Aula 6, Aula 7",Cap. 6,"May 11, 2021 8:57 PM"
Propriedades Mecânicas,Aula 8,Cap. 6,"June 10, 2021 8:07 PM"
Transformações de Fase e Mecanismos de Endurecimento,Aula 9,"Cap. 10, Cap. 7","June 10, 2021 10:00 PM"
Materiais Cerâmicos,Aula 10,Cap. 15,"June 23, 2021 11:09 AM"
Materiais Poliméricos,Aula 11,Cap. 14,"June 23, 2021 7:14 PM"
Materiais Conjugados,Aula 12,Cap. 16,"June 23, 2021 9:23 PM"
Materiais Eletrônicos,Aula 13,Cap. 19,"June 30, 2021 10:03 AM"
