Name,Semana,Files
Introdução,Semana 1,
Espaços Vetoriais,Semana 3,
"Subespaços Vetoriais ",Semana 4,
"Operações com Subespaço ",Semana 5,
Base,Semana 6,
Dimensões,Semana 6,
"Coordenadas ",Semana 7,
Transformação Linear,Semana 8,
Núcleo e Imagem,Semana 9,
Espaço Vetorial Isomorfo,Semana 9,
"Inversa da Transformação Linear ",Semana 9,
Matriz de Uma Transformação Linear,Semana 10,
Produto Interno,Semana 11,
Desigualdade Cauchy–Schwarz,Semana 11,
Norma de um Vetor e Distância entre dois Vetores,Semana 11,
"Operadores ",Semana 12,
Bases Ortogonais e Ortonormais,Semana 12,
Coordenadas de Um Vetor em Uma Base Ortogonal,Semana 12,
Projeção em Base Ortogonal,Semana 12,
Processo de Ortogonalização de Gram-Schmidt,Semana 12,
"Complemento Ortogonal ",Semana 12,
Autovalores e Autovetores de uma Matriz,Semana 13,
Autovalores e Autovetores de uma TL,Semana 13,
Multiplicidade Algébrica e Geométrica,Semana 13,
"Matrizes Especiais ",Semana 14,
Diagonalização,Semana 15,
