Name,Created,Instituto,Semestre
ME414 - Estatística para  Experimentalistas,"March 15, 2022 4:22 PM",IMECC,5º Semestre
MC404 - Assembly,"March 15, 2022 4:22 PM",IC,5º Semestre
EM461 - Mecânica dos Fluidos I,"March 15, 2022 4:22 PM",FEM,5º Semestre
EM404 - Dinâmica,"March 15, 2022 4:21 PM",FEM,5º Semestre
EE532 - Eletrônica Aplicada,"March 15, 2022 4:19 PM",FEEC,5º Semestre
MC322 - Programação Orientada a Objetos,"August 9, 2021 7:48 PM",IC,4º Semestre
MS211 - Cálculo Numérico,"August 9, 2021 7:48 PM",IMECC,4º Semestre
EM360 - Termodinâmica I,"August 9, 2021 7:47 PM",FEM,4º Semestre
EM306 - Estática,"August 9, 2021 7:46 PM",FEM,4º Semestre
MC202 - Estruturas de Dados,"March 14, 2021 8:00 PM",IC,3º Semestre
ES242 - Materiais de Engenharia,"March 14, 2021 8:00 PM",FEM,3º Semestre
F129 - Física Experimental,"March 14, 2021 7:58 PM",IFGW,3º Semestre
EA513 - Circuitos Elétricos,"March 14, 2021 7:58 PM",FEEC,3º Semestre
MA311 - Calculo III,"March 14, 2021 7:57 PM",IMECC,3º Semestre
,"March 14, 2021 7:57 PM",,
F328 - Física III,"September 15, 2020 5:23 PM",IFGW,2º Semestre
"EM104 - Desenho Técnico Assistido por Computador ","September 15, 2020 5:22 PM",FEM,2º Semestre
"MA327 - Algebra Linear ","September 15, 2020 5:21 PM",IMECC,2º Semestre
MA211 - Calculo IIs,"September 15, 2020 5:21 PM",IMECC,2º Semestre
MC102 - Algoritmos e Programação de Computadores,"September 15, 2020 5:21 PM",IMECC,2º Semestre
MA111 - Cálculo I,"August 10, 2020 9:32 PM",IMECC,1º Semestre
MA141 - Geo. Analítica e vetores,"August 8, 2020 2:01 AM",IMECC,1º Semestre
QG111 - Química Teórica I,"August 8, 2020 1:55 AM",IQ,1º Semestre
ES570 - Transferência de Calor I,"August 17, 2022 11:26 AM",FEM,6º Semestre
EA611 - Circuitos II,"August 17, 2022 11:28 AM",,6º Semestre
EE534 - Lab. Eletrônica Aplicada,"August 17, 2022 11:29 AM",FEEC,6º Semestre
ES601 - Análise Linear de Sistemas,"August 17, 2022 11:29 AM",FEM,6º Semestre
ES572 - Circuitos Lógicos,"August 17, 2022 11:29 AM",FEM,6º Semestre
