Name,Aula,Created,Prova
Introdução às  Equações Diferenciais e Suas Classificações,Aula 1,"March 15, 2021 7:04 PM",P1
Método dos Fatores Integrantes,Aula 1,"March 15, 2021 7:04 PM",P1
Método de equações Separáveis,Aula 2,"March 15, 2021 7:04 PM",P1
Método de Substituição,Aula 2,"March 28, 2021 2:16 PM",P1
Equação de Bernoulli,Aula 2,"March 28, 2021 2:41 PM",P1
Equações Exatas,Aula 3,"March 29, 2021 7:00 PM",P1
Fatores Integrantes (Equações Exatas),Aula 3,"March 29, 2021 8:15 PM",P1
"Teorema de Existência e Unicidade ",Aula 4,"March 30, 2021 11:08 AM",P1
Equações de 2a Ordem Redutíveis,Aula 4,"March 31, 2021 11:19 AM",P1
Equações Lineares de 2a Ordem e de Ordem Superiores e Homogêneas,Aula 5,"April 7, 2021 9:21 PM",P1
Wronskiano -  Conjunto Fundamental de Soluções,Aula 5,"April 7, 2021 10:30 PM",P1
"Método de Redução de Ordem para uma EDO de ordem 2 ou maior, homogênea e com uma solução conhecida",Aula 6,"April 12, 2021 7:25 PM",P1
Equações de Euler,Aula 6,"April 12, 2021 7:38 PM",P1
Equações Não Homogêneas com Coeficientes Constantes e o Método dos Coeficientes Indeterminados,Aula 7,"April 14, 2021 10:52 AM",P1
Método de Variação dos Parâmetros,Aula 8,"April 18, 2021 9:12 AM",P1
Transformada de Laplace e sua Inversa,Aula 9,"April 26, 2021 7:28 PM",P1
Transformada de Laplace e Problemas de Valores Iniciais,Aula 10,"April 26, 2021 8:21 PM",P1
Translação em $t$ da transformada de Laplace,Aula 11,"April 28, 2021 9:47 PM",P1
Funções Degrau,Aula 11,"April 28, 2021 10:24 AM",P1
Transformada de Laplace da Função Degrau,Aula 11,"April 28, 2021 11:28 AM",P1
Função Impulso & Delta de Dirac,Aula 12,"April 28, 2021 9:26 PM",P1
Sequências Numéricas,Aula 14,"May 23, 2021 10:19 AM",P2
"Séries Numéricas, Série geométrica, Testes de Convergência",Aula 15,"May 23, 2021 1:26 PM",P2
Séries Alternadas,Aula 16,"June 1, 2021 9:28 AM",P2
Séries de Potências,Aula 16,"June 1, 2021 10:27 AM",P2
Representação de Funções por Séries de Potência,Aula 16,"June 1, 2021 4:37 PM",P2
Série de Taylor,,"June 16, 2021 7:06 PM",P2
Solução de EDO por séries,,"June 18, 2021 10:09 AM",P2
"Método de Frobenius - Ponto Singular Regular ",,"June 19, 2021 10:50 AM",P2
Sistema de $EDO$ - Homogêneo,,"June 19, 2021 6:53 PM",P2
Sistema de $EDO$ - Não Homogêneo,,"June 20, 2021 9:40 AM",P2
Série de Fourier,,"July 3, 2021 10:29 AM",P2
Equação do Calor - Homogênea,Aula 25,"July 3, 2021 12:29 PM",P2
Equação da Onda,Aula 26,"July 3, 2021 3:01 PM",P2
